"","your_lowest","last_pile","your_hand_size","other_hand_size","prob_you_lowest"
"462",6,3,3,2,92.0381156316917
"463",6,3,3,3,88.2414452709883
"464",6,3,3,4,84.5868143459916
"465",6,3,3,5,80.9343315508021
"466",6,3,4,1,95.8849717514124
"467",6,3,4,2,92.0351321585903
"468",6,3,4,3,88.1572052401747
"469",6,3,4,4,84.7422737306843
"470",6,3,4,5,81.0478118161926
"471",6,3,5,1,95.9683967704729
"472",6,3,5,2,92.118406285073
"473",6,3,5,3,88.4169853768279
"474",6,3,5,4,84.4468609865471
"475",6,3,5,5,81.1138952164009
"476",6,4,1,1,96.7
"477",6,4,1,2,93.1
"478",6,4,1,3,89.6
"479",6,4,1,4,84.1
"480",6,4,1,5,79.3
"481",6,4,2,1,95.9057291666667
"482",6,4,2,2,91.9753894080997
"483",6,4,2,3,88.0404786680541
"484",6,4,2,4,84.5653403141361
"485",6,4,2,5,80.9236269430052
"486",6,4,3,1,95.9155629139073
"487",6,4,3,2,91.9905331882481
"488",6,4,3,3,88.1111707841031
"489",6,4,3,4,84.4276805251641
"490",6,4,3,5,80.7742489270386
"491",6,4,4,1,95.9108258928571
"492",6,4,4,2,91.9944444444445
"493",6,4,4,3,88.1681044267877
"494",6,4,4,4,84.3156424581006
"495",6,4,4,5,80.7081818181818
"496",6,4,5,1,95.9395017793594
"497",6,4,5,2,91.9870083432658
"498",6,4,5,3,88.1881437125749
"499",6,4,5,4,84.4489988221437
"500",6,4,5,5,80.7354445797808
"501",6,5,1,1,100
"502",6,5,1,2,100
"503",6,5,1,3,100
"504",6,5,1,4,100
"505",6,5,1,5,100
"506",6,5,2,1,100
"507",6,5,2,2,100
"508",6,5,2,3,100
"509",6,5,2,4,100
"510",6,5,2,5,100
"511",6,5,3,1,100
"512",6,5,3,2,100
"513",6,5,3,3,100
"514",6,5,3,4,100
"515",6,5,3,5,100
"516",6,5,4,1,100
"517",6,5,4,2,100
"518",6,5,4,3,100
"519",6,5,4,4,100
"520",6,5,4,5,100
"521",6,5,5,1,100
"522",6,5,5,2,100
"523",6,5,5,3,100
"524",6,5,5,4,100
"525",6,5,5,5,100
"526",7,0,1,1,95.2
"527",7,0,1,2,87.3
"528",7,0,1,3,81.7
"529",7,0,1,4,76.5
"530",7,0,1,5,73.1
"531",7,0,2,1,94.0752
"532",7,0,2,2,88.4228
"533",7,0,2,3,83.217
"534",7,0,2,4,78.0203
"535",7,0,2,5,73.1169
"536",7,0,3,1,94.2233
"537",7,0,3,2,88.8645
"538",7,0,3,3,83.6772
"539",7,0,3,4,78.4893
"540",7,0,3,5,73.8083
"541",7,0,4,1,94.3519
"542",7,0,4,2,88.8748
"543",7,0,4,3,84.0015
"544",7,0,4,4,79.0106
"545",7,0,4,5,74.8787
"546",7,0,5,1,94.5054
